k_subset,language_resource_tier,classifier_name,n_total,n_prompts,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,n_gold_unsafe,n_gold_safe,tp_unsafe,fn_unsafe_valid_only,fn_unsafe_strict,fp_overrefusal,tn_safe,accuracy_evaluable,unsafe_precision,unsafe_recall_strict,unsafe_recall_evaluable,unsafe_f1_evaluable,evasion_rate_strict,evasion_rate_evaluable,safe_recall_specificity,overrefusal_rate,balanced_accuracy,mean_confidence,median_confidence,std_confidence,mean_unsafe_score,median_unsafe_score,mean_combined_score,median_combined_score,std_combined_score,mean_prompt_len,median_prompt_len,std_prompt_len
1,low,xguard,3658,1040,3655,0,3,0.9991798797156917,0.0,0.0008201202843083652,3658,0,843,2812,2815,0,0,0.23064295485636116,1.0,0.23045379989065062,0.23064295485636116,0.3748332592263228,0.7695462001093494,0.7693570451436389,,,,,,,,,0.8874634885157373,0.8987042158842087,0.06957250204910828,55.79086932750137,47.0,33.44899682062432
1,medium,aprielguard,1139,485,1139,0,0,1.0,0.0,0.0,1139,0,641,498,498,0,0,0.5627743634767339,1.0,0.5627743634767339,0.5627743634767339,0.7202247191011235,0.437225636523266,0.437225636523266,,,,,,,,,0.8888382676324894,0.9030954539775848,0.05541739542781124,55.445127304653205,47.0,32.58865588655915
1,medium,crest,1139,485,1139,0,0,1.0,0.0,0.0,1139,0,900,239,239,0,0,0.7901668129938543,1.0,0.7901668129938543,0.7901668129938543,0.8827856792545365,0.20983318700614575,0.20983318700614575,,,,0.8212693426251098,0.8671875,0.149325082677165,0.7326503683329675,0.84375,0.8888382676324894,0.9030954539775848,0.05541739542781124,55.445127304653205,47.0,32.58865588655915
1,medium,gpt_oss_safeguard,1036,463,11,744,281,0.010617760617760617,0.7181467181467182,0.27123552123552125,1036,0,9,2,1027,0,0,0.8181818181818182,1.0,0.008687258687258687,0.8181818181818182,0.9,0.9913127413127413,0.18181818181818182,,,,,,,,,0.889173822383968,0.9035484492778778,0.055489970085569607,55.0511583011583,47.0,31.993995339555156
1,medium,guardreasoner,1139,485,1114,0,25,0.9780509218612818,0.0,0.021949078138718173,1139,0,873,241,266,0,0,0.7836624775583483,1.0,0.7664618086040387,0.7836624775583483,0.8787116255661802,0.23353819139596138,0.2163375224416517,,,,,,,,,0.8888382676324894,0.9030954539775848,0.05541739542781124,55.445127304653205,47.0,32.58865588655915
1,medium,llamaguard3,1139,485,1139,0,0,1.0,0.0,0.0,1139,0,436,703,703,0,0,0.38279192273924495,1.0,0.38279192273924495,0.38279192273924495,0.5536507936507936,0.617208077260755,0.617208077260755,,,,,,,,,0.8888382676324894,0.9030954539775848,0.05541739542781124,55.445127304653205,47.0,32.58865588655915
1,medium,llamaguard_permissive,1139,485,1139,0,0,1.0,0.0,0.0,1139,0,222,917,917,0,0,0.19490781387181738,1.0,0.19490781387181738,0.19490781387181738,0.3262307127112417,0.8050921861281826,0.8050921861281826,,,,0.6419721354090194,0.622459352016449,0.09533940530719423,0.37940936735107567,0.3775406777858734,0.8888382676324894,0.9030954539775848,0.05541739542781124,55.445127304653205,47.0,32.58865588655915
1,medium,mdjudge,1139,485,1139,0,0,1.0,0.0,0.0,1139,0,0,1139,1139,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,0.9967589202002541,0.9986329674720764,0.0038400688014995515,0.003241077959893191,0.001367025775834918,0.8888382676324894,0.9030954539775848,0.05541739542781124,55.445127304653205,47.0,32.58865588655915
1,medium,nemotron,1139,485,1139,0,0,1.0,0.0,0.0,1139,0,579,560,560,0,0,0.5083406496927129,1.0,0.5083406496927129,0.5083406496927129,0.6740395809080325,0.4916593503072871,0.4916593503072871,,,,,,,,,0.8888382676324894,0.9030954539775848,0.05541739542781124,55.445127304653205,47.0,32.58865588655915
1,medium,qwen3guard_gen,1139,485,1139,0,0,1.0,0.0,0.0,1139,0,908,231,231,0,0,0.797190517998244,1.0,0.797190517998244,0.797190517998244,0.8871519296531509,0.20280948200175591,0.20280948200175591,,,,,,,,,0.8888382676324894,0.9030954539775848,0.05541739542781124,55.445127304653205,47.0,32.58865588655915
1,medium,shieldgemma,1139,485,1139,0,0,1.0,0.0,0.0,1139,0,135,1004,1004,0,0,0.11852502194907814,1.0,0.11852502194907814,0.11852502194907814,0.21193092621664053,0.8814749780509219,0.8814749780509219,,,,0.9229930311676909,0.98828125,0.12266391363255,0.13622136970064533,0.012451171875,0.8888382676324894,0.9030954539775848,0.05541739542781124,55.445127304653205,47.0,32.58865588655915
1,medium,wildguard,1139,485,1139,0,0,1.0,0.0,0.0,1139,0,1107,32,32,0,0,0.9719051799824407,1.0,0.9719051799824407,0.9719051799824407,0.9857524487978628,0.028094820017559263,0.028094820017559263,,,,0.9811135041703248,1.0,0.07391706267755033,0.9653414357012045,1.0,0.8888382676324894,0.9030954539775848,0.05541739542781124,55.445127304653205,47.0,32.58865588655915
1,medium,xguard,1139,485,1139,0,0,1.0,0.0,0.0,1139,0,513,626,626,0,0,0.4503950834064969,1.0,0.4503950834064969,0.4503950834064969,0.6210653753026635,0.5496049165935031,0.5496049165935031,,,,,,,,,0.8888382676324894,0.9030954539775848,0.05541739542781124,55.445127304653205,47.0,32.58865588655915
2,high,aprielguard,1171,550,1171,0,0,1.0,0.0,0.0,1171,0,712,459,459,0,0,0.6080273270708796,1.0,0.6080273270708796,0.6080273270708796,0.7562400424853957,0.3919726729291204,0.3919726729291204,,,,,,,,,0.8729535482639333,0.8901655077934265,0.07091443705066951,54.73612297181896,46.0,33.235181930407094
