k_subset,language,n_unsafe_prompts,n_models_available,best_single_model,best_single_model_short,best_single_model_recall,oracle_or_recall_any_model,missed_by_all_rate,complementarity_gap
1,Nyanja,65,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Oriya (Odia),69,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Oromo,28,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Pashto,54,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Persian,54,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Punjabi,55,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Serbian,54,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Shona,65,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Sindhi,53,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Somali,39,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Sorani Kurdish,70,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Tajik,68,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Tamil,55,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Telugu,52,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Thai,51,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Turkish,54,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Urdu,54,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Vietnamese,55,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Welsh,54,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Xhosa,33,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Yoruba,63,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Zulu,69,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Urdu,106,12,crest,CREST,0.7358490566037735,0.9528301886792453,0.04716981132075472,0.21698113207547176
2,Tajik,131,12,wildguard,WildGuard,0.7786259541984732,0.9694656488549618,0.030534351145038167,0.19083969465648853
2,Mongolian,95,12,crest,CREST,0.7789473684210526,0.9578947368421052,0.042105263157894736,0.17894736842105263
2,Belarusian,103,12,crest,CREST,0.7864077669902912,0.9611650485436893,0.038834951456310676,0.1747572815533981
2,Macedonian,104,12,guardreasoner,GuardReasoner,0.8076923076923077,0.9807692307692307,0.019230769230769232,0.17307692307692302
2,Russian,105,12,guardreasoner,GuardReasoner,0.819047619047619,0.9904761904761905,0.009523809523809525,0.17142857142857149
2,Bulgarian,106,12,qwen3guard_gen,Qwen3Guard,0.8301886792452831,1.0,0.0,0.16981132075471694
2,Hebrew,107,12,qwen3guard_gen,Qwen3Guard,0.7850467289719626,0.9532710280373832,0.04672897196261682,0.16822429906542058
2,Japanese,93,12,qwen3guard_gen,Qwen3Guard,0.7849462365591398,0.946236559139785,0.053763440860215055,0.16129032258064524
2,Assamese,101,12,crest,CREST,0.7920792079207921,0.9504950495049505,0.04950495049504951,0.15841584158415833
2,Marathi,101,12,crest,CREST,0.801980198019802,0.9603960396039604,0.039603960396039604,0.15841584158415833
2,Punjabi,108,12,crest,CREST,0.7777777777777778,0.9351851851851852,0.06481481481481481,0.15740740740740744
