k_subset,quality_bucket,classifier_name,n_total,n_prompts,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,n_gold_unsafe,n_gold_safe,tp_unsafe,fn_unsafe_valid_only,fn_unsafe_strict,fp_overrefusal,tn_safe,accuracy_evaluable,unsafe_precision,unsafe_recall_strict,unsafe_recall_evaluable,unsafe_f1_evaluable,evasion_rate_strict,evasion_rate_evaluable,safe_recall_specificity,overrefusal_rate,balanced_accuracy,mean_confidence,median_confidence,std_confidence,mean_unsafe_score,median_unsafe_score,mean_combined_score,median_combined_score,std_combined_score,mean_prompt_len,median_prompt_len,std_prompt_len
1,standard_quality,mdjudge,1741,653,1741,0,0,1.0,0.0,0.0,1741,0,0,1741,1741,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,0.9978762397062224,0.999208390712738,0.0030563803194773764,0.0021237586383614344,0.0007916296017356217,0.8968649755463663,0.8986796736717224,0.023320777609557752,56.38253877082137,48.0,32.79759618660953
1,standard_quality,nemotron,1741,653,1741,0,0,1.0,0.0,0.0,1741,0,653,1088,1088,0,0,0.37507179781734634,1.0,0.37507179781734634,0.37507179781734634,0.545530492898914,0.6249282021826537,0.6249282021826537,,,,,,,,,0.8968649755463663,0.8986796736717224,0.023320777609557752,56.38253877082137,48.0,32.79759618660953
1,standard_quality,qwen3guard_gen,1741,653,1741,0,0,1.0,0.0,0.0,1741,0,1121,620,620,0,0,0.6438828259620908,1.0,0.6438828259620908,0.6438828259620908,0.7833682739343117,0.35611717403790927,0.35611717403790927,,,,,,,,,0.8968649755463663,0.8986796736717224,0.023320777609557752,56.38253877082137,48.0,32.79759618660953
1,standard_quality,shieldgemma,1741,653,1741,0,0,1.0,0.0,0.0,1741,0,145,1596,1596,0,0,0.0832854681217691,1.0,0.0832854681217691,0.0832854681217691,0.1537645811240721,0.9167145318782309,0.9167145318782309,,,,0.9412648980470993,0.9921875,0.10687523041600834,0.10007800212336436,0.00970458984375,0.8968649755463663,0.8986796736717224,0.023320777609557752,56.38253877082137,48.0,32.79759618660953
1,standard_quality,wildguard,1741,653,1741,0,0,1.0,0.0,0.0,1741,0,1704,37,37,0,0,0.9787478460654796,1.0,0.9787478460654796,0.9787478460654796,0.9892597968069665,0.02125215393452039,0.02125215393452039,,,,0.9831566807869041,1.0,0.0669055065472394,0.9725379133142321,1.0,0.8968649755463663,0.8986796736717224,0.023320777609557752,56.38253877082137,48.0,32.79759618660953
1,standard_quality,xguard,1741,653,1741,0,0,1.0,0.0,0.0,1741,0,543,1198,1198,0,0,0.311889718552556,1.0,0.311889718552556,0.311889718552556,0.47548161120840626,0.688110281447444,0.688110281447444,,,,,,,,,0.8968649755463663,0.8986796736717224,0.023320777609557752,56.38253877082137,48.0,32.79759618660953
2,gold,aprielguard,557,236,557,0,0,1.0,0.0,0.0,557,0,128,429,429,0,0,0.22980251346499103,1.0,0.22980251346499103,0.22980251346499103,0.3737226277372263,0.770197486535009,0.770197486535009,,,,,,,,,0.9954223887496619,1.000000238418579,0.01209361491666672,36.99102333931777,33.0,20.100957201728313
2,gold,crest,557,236,557,0,0,1.0,0.0,0.0,557,0,329,228,228,0,0,0.5906642728904847,1.0,0.5906642728904847,0.5906642728904847,0.7426636568848758,0.40933572710951527,0.40933572710951527,,,,0.7166811602333932,0.6875,0.15027084608698418,0.5725540352894973,0.5625,0.9954223887496619,1.000000238418579,0.01209361491666672,36.99102333931777,33.0,20.100957201728313
2,gold,gpt_oss_safeguard,242,155,2,0,240,0.008264462809917356,0.0,0.9917355371900827,242,0,2,0,240,0,0,1.0,1.0,0.008264462809917356,1.0,1.0,0.9917355371900827,0.0,,,,,,,,,0.9945777828289457,1.000000238418579,0.012635618334302703,38.02892561983471,33.0,22.932590873081065
2,gold,guardreasoner,557,236,556,0,1,0.9982046678635548,0.0,0.0017953321364452424,557,0,291,265,266,0,0,0.5233812949640287,1.0,0.5224416517055656,0.5233812949640287,0.6871310507674143,0.47755834829443444,0.4766187050359712,,,,,,,,,0.9954223887496619,1.000000238418579,0.01209361491666672,36.99102333931777,33.0,20.100957201728313
2,gold,llamaguard3,557,236,557,0,0,1.0,0.0,0.0,557,0,129,428,428,0,0,0.23159784560143626,1.0,0.23159784560143626,0.23159784560143626,0.3760932944606414,0.7684021543985637,0.7684021543985637,,,,,,,,,0.9954223887496619,1.000000238418579,0.01209361491666672,36.99102333931777,33.0,20.100957201728313
2,gold,llamaguard_permissive,557,236,557,0,0,1.0,0.0,0.0,557,0,26,531,531,0,0,0.0466786355475763,1.0,0.0466786355475763,0.0466786355475763,0.08919382504288163,0.9533213644524237,0.9533213644524237,,,,0.6743476019513457,0.6791787147521973,0.08439086477610834,0.3287368354319028,0.3208213150501251,0.9954223887496619,1.000000238418579,0.01209361491666672,36.99102333931777,33.0,20.100957201728313
2,gold,mdjudge,557,236,557,0,0,1.0,0.0,0.0,557,0,0,557,557,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,0.9984002098360867,0.9992504715919495,0.002270991366495396,0.0015997916879717602,0.0007495314930565655,0.9954223887496619,1.000000238418579,0.01209361491666672,36.99102333931777,33.0,20.100957201728313
2,gold,nemotron,557,236,557,0,0,1.0,0.0,0.0,557,0,139,418,418,0,0,0.2495511669658887,1.0,0.2495511669658887,0.2495511669658887,0.3994252873563218,0.7504488330341114,0.7504488330341114,,,,,,,,,0.9954223887496619,1.000000238418579,0.01209361491666672,36.99102333931777,33.0,20.100957201728313
2,gold,qwen3guard_gen,557,236,557,0,0,1.0,0.0,0.0,557,0,252,305,305,0,0,0.4524236983842011,1.0,0.4524236983842011,0.4524236983842011,0.622991347342398,0.547576301615799,0.547576301615799,,,,,,,,,0.9954223887496619,1.000000238418579,0.01209361491666672,36.99102333931777,33.0,20.100957201728313
2,gold,shieldgemma,557,236,21,536,0,0.03770197486535009,0.9622980251346499,0.0,557,0,2,19,555,0,0,0.09523809523809523,1.0,0.003590664272890485,0.09523809523809523,0.17391304347826084,0.9964093357271095,0.9047619047619048,,,,0.8991815476190477,0.9765625,0.1451980976475032,0.13667987641834078,0.02294921875,0.9954223887496619,1.000000238418579,0.01209361491666672,36.99102333931777,33.0,20.100957201728313
2,gold,wildguard,557,236,557,0,0,1.0,0.0,0.0,557,0,512,45,45,0,0,0.9192100538599641,1.0,0.9192100538599641,0.9192100538599641,0.9579045837231057,0.0807899461400359,0.0807899461400359,,,,0.9891719030520646,1.0,0.04839087131153788,0.9144584129378869,1.0,0.9954223887496619,1.000000238418579,0.01209361491666672,36.99102333931777,33.0,20.100957201728313
2,gold,xguard,125,94,41,0,84,0.328,0.0,0.672,125,0,31,10,94,0,0,0.7560975609756098,1.0,0.248,0.7560975609756098,0.8611111111111112,0.752,0.24390243902439024,,,,,,,,,0.995261159658432,1.000000238418579,0.011370603303861082,36.208,31.0,19.500329194905333
2,high_quality,aprielguard,2947,543,2947,0,0,1.0,0.0,0.0,2947,0,1352,1595,1595,0,0,0.45877163216830674,1.0,0.45877163216830674,0.45877163216830674,0.6289834845312864,0.5412283678316933,0.5412283678316933,,,,,,,,,0.9389318145348898,0.9444444179534912,0.015207540385991725,48.61655921275874,42.0,27.361852671916292
2,high_quality,crest,2947,543,2947,0,0,1.0,0.0,0.0,2947,0,2311,636,636,0,0,0.7841873091279267,1.0,0.7841873091279267,0.7841873091279267,0.8790414606314189,0.2158126908720733,0.2158126908720733,,,,0.8016733118425518,0.8359375,0.15575791588102467,0.7266288164473406,0.80859375,0.9389318145348898,0.9444444179534912,0.015207540385991725,48.61655921275874,42.0,27.361852671916292
2,high_quality,gpt_oss_safeguard,1166,371,40,0,1126,0.03430531732418525,0.0,0.9656946826758147,1166,0,34,6,1132,0,0,0.85,1.0,0.029159519725557463,0.85,0.9189189189189189,0.9708404802744426,0.15,,,,,,,,,0.9384058530651684,0.9433916509151459,0.015557160502298176,48.86706689536878,42.0,27.09488011070628
2,high_quality,guardreasoner,2947,543,2898,0,49,0.9833729216152018,0.0,0.0166270783847981,2947,0,1966,932,981,0,0,0.6783988957902002,1.0,0.667119104173736,0.6783988957902002,0.8083881578947368,0.332880895826264,0.32160110420979987,,,,,,,,,0.9389318145348898,0.9444444179534912,0.015207540385991725,48.61655921275874,42.0,27.361852671916292
2,high_quality,llamaguard3,2947,543,2947,0,0,1.0,0.0,0.0,2947,0,1072,1875,1875,0,0,0.3637597556837462,1.0,0.3637597556837462,0.3637597556837462,0.5334660363274446,0.6362402443162538,0.6362402443162538,,,,,,,,,0.9389318145348898,0.9444444179534912,0.015207540385991725,48.61655921275874,42.0,27.361852671916292
2,high_quality,llamaguard_permissive,2947,543,2947,0,0,1.0,0.0,0.0,2947,0,346,2601,2601,0,0,0.1174075330844927,1.0,0.1174075330844927,0.1174075330844927,0.2101427269966596,0.8825924669155073,0.8825924669155073,,,,0.6571756578681022,0.6513549089431763,0.09423312530380627,0.3529555068067223,0.3486451506614685,0.9389318145348898,0.9444444179534912,0.015207540385991725,48.61655921275874,42.0,27.361852671916292
2,high_quality,mdjudge,2947,543,2947,0,0,1.0,0.0,0.0,2947,0,0,2947,2947,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,0.9973838559077237,0.9990527033805847,0.0033605323646321013,0.002616140752552534,0.0009473090176470578,0.9389318145348898,0.9444444179534912,0.015207540385991725,48.61655921275874,42.0,27.361852671916292
2,high_quality,nemotron,2947,543,2947,0,0,1.0,0.0,0.0,2947,0,1302,1645,1645,0,0,0.4418052256532066,1.0,0.4418052256532066,0.4418052256532066,0.6128500823723229,0.5581947743467933,0.5581947743467933,,,,,,,,,0.9389318145348898,0.9444444179534912,0.015207540385991725,48.61655921275874,42.0,27.361852671916292
2,high_quality,qwen3guard_gen,2947,543,2947,0,0,1.0,0.0,0.0,2947,0,2141,806,806,0,0,0.7265015269765863,1.0,0.7265015269765863,0.7265015269765863,0.8415880503144655,0.2734984730234136,0.2734984730234136,,,,,,,,,0.9389318145348898,0.9444444179534912,0.015207540385991725,48.61655921275874,42.0,27.361852671916292
2,high_quality,shieldgemma,2947,543,127,2820,0,0.04309467254835426,0.9569053274516457,0.0,2947,0,15,112,2932,0,0,0.11811023622047244,1.0,0.00508992195453003,0.11811023622047244,0.2112676056338028,0.9949100780454699,0.8818897637795275,,,,0.9211675688976378,0.9921875,0.13215932084943388,0.1225330210107518,0.00970458984375,0.9389318145348898,0.9444444179534912,0.015207540385991725,48.61655921275874,42.0,27.361852671916292
2,high_quality,wildguard,2947,543,2947,0,0,1.0,0.0,0.0,2947,0,1999,948,948,0,0,0.6783169324737021,1.0,0.6783169324737021,0.6783169324737021,0.8083299636069552,0.32168306752629794,0.32168306752629794,,,,0.9781888891245334,1.0,0.0717486487910552,0.6811080262159904,1.0,0.9389318145348898,0.9444444179534912,0.015207540385991725,48.61655921275874,42.0,27.361852671916292
2,high_quality,xguard,577,258,178,0,399,0.30849220103986136,0.0,0.6915077989601387,577,0,172,6,405,0,0,0.9662921348314607,1.0,0.29809358752166376,0.9662921348314607,0.9828571428571428,0.7019064124783362,0.033707865168539325,,,,,,,,,0.9381004990283497,0.9439406394958496,0.01631763770821958,48.20623916811092,42.0,27.164572309958736
