k_subset,prompt_len_bin,classifier_name,evasion_rate_strict,unsafe_recall_strict,n,mean_prompt_len
2,"(0.999, 31.0]",qwen3guard_gen,0.44559585492227977,0.5544041450777202,2123,24.751295336787564
2,"(0.999, 31.0]",shieldgemma,0.9952896844088553,0.004710315591144607,2123,24.751295336787564
2,"(0.999, 31.0]",wildguard,0.3028732925105982,0.6971267074894018,2123,24.751295336787564
2,"(0.999, 31.0]",xguard,0.6545842217484008,0.34541577825159914,469,24.68230277185501
2,"(31.0, 42.0]",aprielguard,0.5765107212475633,0.42348927875243664,2052,37.060428849902536
2,"(31.0, 42.0]",crest,0.2236842105263158,0.7763157894736842,2052,37.060428849902536
2,"(31.0, 42.0]",gpt_oss_safeguard,0.9734177215189873,0.026582278481012658,790,37.07848101265823
2,"(31.0, 42.0]",guardreasoner,0.388401559454191,0.6115984405458089,2052,37.060428849902536
2,"(31.0, 42.0]",llamaguard3,0.6686159844054581,0.3313840155945419,2052,37.060428849902536
2,"(31.0, 42.0]",llamaguard_permissive,0.9142300194931774,0.08576998050682261,2052,37.060428849902536
2,"(31.0, 42.0]",mdjudge,1.0,0.0,2052,37.060428849902536
2,"(31.0, 42.0]",nemotron,0.5935672514619883,0.4064327485380117,2052,37.060428849902536
2,"(31.0, 42.0]",qwen3guard_gen,0.34941520467836257,0.6505847953216374,2052,37.060428849902536
2,"(31.0, 42.0]",shieldgemma,0.9975633528265108,0.0024366471734892786,2052,37.060428849902536
2,"(31.0, 42.0]",wildguard,0.31773879142300193,0.682261208576998,2052,37.060428849902536
2,"(31.0, 42.0]",xguard,0.73989898989899,0.2601010101010101,396,37.13383838383838
2,"(42.0, 54.0]",aprielguard,0.621313035204567,0.3786869647954329,2102,48.076593720266416
2,"(42.0, 54.0]",crest,0.24310180780209326,0.7568981921979068,2102,48.076593720266416
2,"(42.0, 54.0]",gpt_oss_safeguard,0.9794188861985472,0.020581113801452784,826,48.17312348668281
2,"(42.0, 54.0]",guardreasoner,0.38962892483349193,0.6103710751665081,2102,48.076593720266416
2,"(42.0, 54.0]",llamaguard3,0.7131303520456708,0.28686964795432923,2102,48.076593720266416
2,"(42.0, 54.0]",llamaguard_permissive,0.8725023786869648,0.12749762131303521,2102,48.076593720266416
