k_subset,model_1,model_2,agreement,n_overlap_prompts
2,guardreasoner,aprielguard,0.6260061919504644,1615
2,guardreasoner,guardreasoner,1.0,1615
2,guardreasoner,mdjudge,0.3746130030959752,1615
2,mdjudge,qwen3guard_gen,0.2988929889298893,1626
2,mdjudge,llamaguard3,0.6002460024600246,1626
2,mdjudge,llamaguard_permissive,0.8628536285362853,1626
2,mdjudge,nemotron,0.550430504305043,1626
2,mdjudge,gpt_oss_safeguard,0.22033898305084745,59
2,mdjudge,shieldgemma,0.9100346020761245,289
2,mdjudge,xguard,0.07624633431085044,341
2,mdjudge,crest,0.21955719557195572,1626
2,mdjudge,wildguard,0.2736777367773678,1626
2,mdjudge,aprielguard,0.5787207872078721,1626
2,mdjudge,guardreasoner,0.3746130030959752,1615
2,mdjudge,mdjudge,1.0,1626
3,qwen3guard_gen,qwen3guard_gen,1.0,1901
3,qwen3guard_gen,llamaguard3,0.6842105263157895,38
3,qwen3guard_gen,llamaguard_permissive,0.40925828511309836,1901
3,qwen3guard_gen,nemotron,0.7117306680694372,1901
3,qwen3guard_gen,wildguard,0.6747496046389035,1897
3,llamaguard3,qwen3guard_gen,0.6842105263157895,38
3,llamaguard3,llamaguard3,1.0,38
3,llamaguard3,llamaguard_permissive,0.7105263157894737,38
3,llamaguard3,nemotron,0.7631578947368421,38
3,llamaguard3,wildguard,0.4473684210526316,38
3,llamaguard_permissive,qwen3guard_gen,0.40925828511309836,1901
3,llamaguard_permissive,llamaguard3,0.7105263157894737,38
3,llamaguard_permissive,llamaguard_permissive,1.0,1901
3,llamaguard_permissive,nemotron,0.6133613887427669,1901
3,llamaguard_permissive,wildguard,0.1639430680021086,1897
3,nemotron,qwen3guard_gen,0.7117306680694372,1901
3,nemotron,llamaguard3,0.7631578947368421,38
3,nemotron,llamaguard_permissive,0.6133613887427669,1901
3,nemotron,nemotron,1.0,1901
3,nemotron,wildguard,0.43911439114391143,1897
3,wildguard,qwen3guard_gen,0.6747496046389035,1897
3,wildguard,llamaguard3,0.4473684210526316,38
3,wildguard,llamaguard_permissive,0.1639430680021086,1897
3,wildguard,nemotron,0.43911439114391143,1897
3,wildguard,wildguard,1.0,1897
