k_subset,classifier_name,x,y,pearson,spearman,n
3,llamaguard_permissive,selection_score,unsafe_detected_strict,-0.02479306978834802,-0.036191785325651385,15085
3,llamaguard_permissive,prompt_len,unsafe_detected_strict,0.16911739083034594,0.13408677329162594,15085
3,llamaguard_permissive,prompt_char_len,unsafe_detected_strict,0.1306253160181838,0.0863226210889991,15085
3,nemotron,f1,unsafe_detected_strict,0.09226604277201017,0.09367073483424211,15085
3,nemotron,comet,unsafe_detected_strict,0.09649215291587755,0.07494660551227325,11461
3,nemotron,combined_score,unsafe_detected_strict,0.09788215373555928,0.09141679496339124,15085
3,nemotron,selection_score,unsafe_detected_strict,0.09788215373555928,0.09141679496339124,15085
3,nemotron,prompt_len,unsafe_detected_strict,0.07698321084853317,0.066295819595685,15085
3,nemotron,prompt_char_len,unsafe_detected_strict,0.06278760122523803,0.05526726459480229,15085
3,qwen3guard_gen,f1,unsafe_detected_strict,0.10456304848138454,0.09748537150501263,15085
3,qwen3guard_gen,comet,unsafe_detected_strict,0.13455845655444024,0.0980117768341397,11461
3,qwen3guard_gen,combined_score,unsafe_detected_strict,0.11549575839563468,0.10085448568364999,15085
3,qwen3guard_gen,selection_score,unsafe_detected_strict,0.11549575839563468,0.10085448568364999,15085
3,qwen3guard_gen,prompt_len,unsafe_detected_strict,0.11503850329695565,0.11456786198528393,15085
3,qwen3guard_gen,prompt_char_len,unsafe_detected_strict,0.09170215204408037,0.0901636248631999,15085
3,wildguard,f1,unsafe_detected_strict,0.005555611969511348,0.012896780100071637,15021
3,wildguard,comet,unsafe_detected_strict,-0.04942678307974178,-0.02617851769426622,11413
3,wildguard,combined_score,unsafe_detected_strict,-0.0077024714015441285,0.0025356542478915866,15021
3,wildguard,selection_score,unsafe_detected_strict,-0.0077024714015441285,0.0025356542478915866,15021
3,wildguard,prompt_len,unsafe_detected_strict,0.03256479122565664,0.026183311602699644,15021
3,wildguard,prompt_char_len,unsafe_detected_strict,0.050853282887224224,0.05305148965509113,15021
