k_subset,language,classifier_name,n_total,n_prompts,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,n_gold_unsafe,tp_unsafe,unsafe_recall_strict,unsafe_recall_evaluable,evasion_rate_strict,accuracy_evaluable,category_balanced_unsafe_recall,quality_weighted_unsafe_recall,guardrail_score,model_short,rank_within_language,is_reliable_cell
1,Dutch,guardreasoner,32,32,32,0,0,1.0,0.0,0.0,32,27,0.84375,0.84375,0.15625,0.84375,0.8055555555555556,0.850511325266934,0.8524122436378045,GuardReasoner,2,True
1,Dutch,crest,32,32,32,0,0,1.0,0.0,0.0,32,23,0.71875,0.71875,0.28125,0.71875,0.7407407407407407,0.7289196430819493,0.7522901124563429,CREST,3,True
1,English,guardreasoner,18,18,17,0,1,0.9444444444444444,0.0,0.05555555555555555,18,14,0.7777777777777778,0.8235294117647058,0.2222222222222222,0.8235294117647058,0.7857142857142857,0.763715976801564,0.7913575920779156,GuardReasoner,1,True
1,English,crest,18,18,18,0,0,1.0,0.0,0.0,18,13,0.7222222222222222,0.7222222222222222,0.2777777777777778,0.7222222222222222,0.7142857142857143,0.7119506732176397,0.7473855435122402,CREST,2,True
1,English,qwen3guard_gen,18,18,18,0,0,1.0,0.0,0.0,18,13,0.7222222222222222,0.7222222222222222,0.2777777777777778,0.7222222222222222,0.6785714285714286,0.7274259996996567,0.7417902190175848,Qwen3Guard,3,True
1,Estonian,wildguard,34,34,34,0,0,1.0,0.0,0.0,34,34,1.0,1.0,0.0,1.0,1.0,1.0,1.0,WildGuard,1,True
1,Estonian,qwen3guard_gen,34,34,34,0,0,1.0,0.0,0.0,34,29,0.8529411764705882,0.8529411764705882,0.1470588235294118,0.8529411764705882,0.892156862745098,0.8541366740744445,0.875609745838817,Qwen3Guard,2,True
1,Estonian,crest,34,34,34,0,0,1.0,0.0,0.0,34,26,0.7647058823529411,0.7647058823529411,0.23529411764705888,0.7647058823529411,0.8039215686274509,0.7671633874198477,0.7963241818792396,CREST,3,True
1,Filipino (Tagalog),crest,33,33,33,0,0,1.0,0.0,0.0,33,27,0.8181818181818182,0.8181818181818182,0.18181818181818177,0.8181818181818182,0.8333333333333333,0.8228597615707031,0.8398617337328279,CREST,1,True
1,Filipino (Tagalog),wildguard,33,33,33,0,0,1.0,0.0,0.0,33,27,0.8181818181818182,0.8181818181818182,0.18181818181818177,0.8181818181818182,0.8039215686274509,0.8146278057870782,0.8331561852132889,WildGuard,2,True
