k_subset,language,prompts,language_resource_tier,mean_chars,median_chars,p95_chars,mean_words,median_words
2,Swahili,104,low,63.19230769230769,55.0,130.79999999999995,9.884615384615385,9.0
2,Igbo,126,low,62.992063492063494,54.0,122.75,13.063492063492063,11.0
2,Russian,105,high,62.50476190476191,51.0,124.6,10.00952380952381,8.0
2,Javanese,102,low,62.333333333333336,54.0,125.94999999999999,9.901960784313726,9.0
2,Romanian,107,medium,62.3177570093458,54.0,113.79999999999995,11.36448598130841,10.0
2,Swedish,108,medium,62.27777777777778,50.5,149.59999999999997,11.62037037037037,9.0
2,Kannada,108,low,61.93518518518518,55.5,120.24999999999996,8.00925925925926,7.0
2,Latvian,103,low,61.38834951456311,48.0,134.39999999999995,10.087378640776699,8.0
2,Portuguese,108,high,61.324074074074076,49.5,119.0,10.898148148148149,9.0
2,Ganda,121,low,61.31404958677686,54.0,130.0,8.297520661157025,7.0
2,Sindhi,102,low,60.55882352941177,52.0,120.89999999999998,13.450980392156863,12.0
2,Turkish,105,medium,59.97142857142857,50.0,133.8,8.17142857142857,7.0
2,Telugu,101,low,59.68316831683168,49.0,144.0,8.633663366336634,7.0
2,Mongolian,95,low,59.44210526315789,52.0,123.79999999999998,9.631578947368421,8.0
2,Ukrainian,108,medium,59.148148148148145,48.5,132.24999999999994,9.768518518518519,8.0
2,Slovak,108,low,58.916666666666664,49.0,141.0,9.898148148148149,8.0
2,Afrikaans,108,low,58.7037037037037,49.5,113.29999999999998,11.333333333333334,9.5
2,Yoruba,120,low,58.666666666666664,49.0,124.24999999999999,13.966666666666667,11.5
2,Xhosa,60,low,58.46666666666667,53.0,112.19999999999999,6.783333333333333,6.0
2,Urdu,106,medium,58.198113207547166,51.5,112.0,13.29245283018868,12.0
2,Slovenian,102,low,58.049019607843135,44.5,126.0,9.656862745098039,8.0
2,Catalan,108,low,58.0,51.0,117.0,10.546296296296296,9.0
2,Belarusian,103,low,57.99029126213592,46.0,126.49999999999996,9.54368932038835,7.0
2,Lithuanian,103,low,57.980582524271846,49.0,136.39999999999986,8.514563106796116,7.0
2,Norwegian,103,medium,57.66019417475728,52.0,102.89999999999999,11.009708737864077,10.0
2,Bosnian,104,low,57.20192307692308,50.0,107.69999999999999,10.221153846153847,9.0
2,Assamese,101,low,56.67326732673267,43.0,121.0,9.663366336633663,8.0
2,Luo,111,low,56.351351351351354,49.0,112.5,10.396396396396396,9.0
2,Czech,107,medium,56.149532710280376,45.0,136.99999999999977,9.345794392523365,8.0
2,Danish,108,medium,55.833333333333336,49.0,121.54999999999994,10.166666666666666,9.0
2,Pashto,105,low,55.457142857142856,48.0,109.8,12.904761904761905,11.0
2,Lao,101,low,55.21782178217822,48.0,97.0,2.633663366336634,2.0
2,Croatian,106,low,54.990566037735846,46.0,120.25,9.49056603773585,8.0
2,Oromo,51,low,54.411764705882355,50.0,89.0,7.196078431372549,6.0
2,Hausa,68,low,54.35294117647059,48.0,107.39999999999998,10.882352941176471,9.0
2,Polish,105,medium,54.04761904761905,43.0,121.19999999999997,8.247619047619047,7.0
2,Bengali,103,medium,53.592233009708735,48.0,97.69999999999997,9.281553398058252,8.0
2,Marathi,101,low,52.56435643564357,46.0,107.0,8.910891089108912,8.0
2,Wolof,104,low,49.39423076923077,43.5,99.85,10.778846153846153,9.0
2,Icelandic,100,low,49.37,41.5,93.05,8.74,7.0
2,Persian,105,medium,47.94285714285714,41.0,99.39999999999999,10.114285714285714,8.0
2,Fula,100,low,47.87,45.5,89.1,8.9,8.0
2,Hebrew,107,medium,45.52336448598131,41.0,84.0,8.906542056074766,8.0
2,Arabic,106,high,44.405660377358494,37.5,87.0,8.264150943396226,7.0
2,Thai,100,medium,43.08,39.0,77.1,1.63,1.0
2,Amharic,100,low,39.96,35.5,72.19999999999999,8.01,7.0
2,English,45,high,35.86666666666667,34.0,57.79999999999998,7.333333333333333,7.0
2,Korean,97,high,32.11340206185567,26.0,64.19999999999999,8.288659793814434,7.0
2,Japanese,93,high,22.634408602150536,20.0,41.39999999999999,1.7634408602150538,1.0
2,Chinese (Simplified),99,high,17.696969696969695,15.0,42.099999999999994,1.3232323232323233,1.0
2,Chinese (Traditional),91,high,14.065934065934066,13.0,24.0,1.120879120879121,1.0
3,Cebuano,194,low,86.81958762886597,69.0,215.7,14.793814432989691,12.0
3,Northern Sotho,183,low,80.32786885245902,66.0,195.70000000000002,16.153005464480874,13.0
3,Luxembourgish,198,low,77.06565656565657,66.5,173.0,13.070707070707071,12.0
3,Nyanja,184,low,75.45652173913044,64.0,185.94999999999973,10.298913043478262,9.0
3,Tajik,188,low,75.27127659574468,62.5,180.25000000000003,12.76063829787234,10.0
3,Shona,184,low,74.88586956521739,63.5,176.49999999999994,9.391304347826088,8.0
3,Maori,185,low,74.72432432432433,67.0,158.7999999999998,16.36216216216216,15.0
3,French,157,high,74.64331210191082,64.0,179.99999999999994,13.452229299363058,11.0
3,Armenian,154,low,74.12337662337663,61.5,161.84999999999994,11.512987012987013,9.0
3,Zulu,192,low,73.35416666666667,63.0,167.69999999999993,8.244791666666666,7.0
3,Oriya (Odia),189,low,72.7936507936508,58.0,174.6,12.497354497354497,10.0
